Title,Price,Old Price,Discount,Image URL
Car Pedal Security Lock,"Rs. 2,999","Rs. 3,499",14%,https://www.hamzastore.pk/images/product_gallery/md_1724802451_S565791ebbcde410988a074f5abca76eaR_(1).jpg
High Power Lighter and USB Car Socket,"Rs. 2,999","Rs. 3,499",14%,https://www.hamzastore.pk/images/product_gallery/md_1724801941_Sb50ba8d9fd484747b20273b8ef08ee16y.jpg
New Carbon Fiber Anti Scratch Tape,Rs. 999,"Rs. 1,299",23%,https://www.hamzastore.pk/images/product_gallery/md_1724801518_Sbf561fa9dcec4d98a2dac9387ef774ebn.jpg
"Solar Wall Lamp Outdoor Waterproof Up and Down Luminous Lighting, Solar LED Wall Light","Rs. 1,199","Rs. 1,499",20%,https://www.hamzastore.pk/images/product_gallery/md_1725110404_Outdoor-Solar-Wall-Lamp-Waterproof-Tungsten-Filament-Lamp-Induction-Courtyard-Garden-Villa-Night-Light.jpg
Caravan Lamp,"Rs. 8,000","Rs. 11,400",30%,https://www.hamzastore.pk/images/product_gallery/md_1723535457_Caravan_Lamp.jpg
Cancorde Ceiling Lamp,"Rs. 49,800","Rs. 65,700",24%,https://www.hamzastore.pk/images/product_gallery/1723534326_Cancorde_Ceiling_Lamp.webp
Brass Antler Lamp,"Rs. 7,000","Rs. 9,500",26%,https://www.hamzastore.pk/images/product_gallery/md_1723535004_Brass_Antler_Lamp3.jpg
Branch Magic Chandelier,"Rs. 39,999","Rs. 46,500",14%,https://www.hamzastore.pk/images/product_gallery/1723459578_Branch_Magic_Chandelier4.webp
Bottle Lamp,"Rs. 8,500","Rs. 9,500",11%,https://www.hamzastore.pk/images/product_gallery/md_1723536369_Bottle_Lamp1.jpg
Round Wooden Brown For Home and Office Wall Clock,"Rs. 2,564","Rs. 3,324",23%,https://www.hamzastore.pk/images/product_gallery/1713668268_1_9de187b4-39b2-4fbf-9884-2ed6cd4a72eb_720x.webp
Wooden Brown Round For Home Wall Clock,"Rs. 2,469","Rs. 3,324",26%,https://www.hamzastore.pk/images/product_gallery/1713668042_1b_68_720x.webp
Round Wooden Brown Simple Home Wall Clock,"Rs. 2,374","Rs. 3,324",29%,https://www.hamzastore.pk/images/product_gallery/1713667816_1_e4d0a2aa-c174-4a3d-b5a7-095a62e20b0e_720x.webp
Wooden Fancy Dark Brown Wall Clock,"Rs. 3,134","Rs. 3,799",18%,https://www.hamzastore.pk/images/product_gallery/1713667593_1b_70_720x.webp
Anchor Modern Pendulum Dark Brown with Wooden Style,"Rs. 3,134","Rs. 3,989",21%,https://www.hamzastore.pk/images/product_gallery/1713667326_1b_80_720x.webp
Wooden Style Modern Pendulum Darknets,"Rs. 3,134","Rs. 4,274",27%,https://www.hamzastore.pk/images/product_gallery/1713666798_1b_81_720x.webp
Pack of 3 Children Pencil Holder Writing Aid Pen Grip Preschool Learning Training,Rs. 385,Rs. 600,36%,https://www.hamzastore.pk/images/product_gallery/md_1639225960_sfdvxvxcvsdvdxc.jpg
1Pc Silicone Face Mask Brush Applicator Brush,Rs. 332,Rs. 536,38%,https://www.hamzastore.pk/images/product_gallery/md_1667837220_wrasddsfz.jpg
"New Freshener Toilet Cleaner Gel Flower Stamp, Toilet Deodorant Bathroom Toilet Cleaning Tool",Rs. 449,"Rs. 1,001",55%,https://www.hamzastore.pk/images/product_gallery/md_1667640102_adcszc.png
New Deep Frying Strainer Spoon Mesh Net Strainer,Rs. 375,Rs. 715,48%,https://www.hamzastore.pk/images/product_gallery/md_1667577887_reewasf.jpg
New Dual Blade Peeler Stainless Steel,Rs. 375,Rs. 574,35%,https://www.hamzastore.pk/images/product_gallery/md_1667576238_wadad.jpg
New 5 In 1 Keyboard Cleaning Soft Brush,Rs. 399,Rs. 844,47%,https://www.hamzastore.pk/images/product_gallery/md_1666139911_E1D54E24-1CCF-4328-B6B0-B085CA0E944C.jpeg
